,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B06,FAM,Cg_18s(1408/9),NTC-1,,,36.0966191988918,36.4052513428501,0.436471763770187,NaN,NaN,NaN,NaN,60,
,C01,FAM,Cg_ATPsynthase(1385/6),Unkn,NTC1_ctenidia,,26.6933420173362,26.6933420173362,0,NaN,NaN,NaN,0,60,
,C02,FAM,Cg_ATPsynthase(1385/6),Unkn,NTC2_ctenidia,,27.6704798721102,27.6704798721102,0,NaN,NaN,NaN,0,60,
,C03,FAM,Cg_ATPsynthase(1385/6),Unkn,NTH1_ctenidia,,26.7735066479809,26.7735066479809,0,NaN,NaN,NaN,0,60,
,C04,FAM,Cg_ATPsynthase(1385/6),Unkn,NTH2_ctenidia,,27.3991481430284,27.3991481430284,0,NaN,NaN,NaN,0,60,
,C05,FAM,Cg_ATPsynthase(1385/6),Unkn,NTHM1_ctenidia,,27.2064748827822,27.2064748827822,0,NaN,NaN,NaN,0,60,
,C06,FAM,Cg_ATPsynthase(1385/6),Unkn,NTHM2_ctenidia,,27.2215146739139,27.2215146739139,0,NaN,NaN,NaN,0,60,
,C07,FAM,Cg_ATPsynthase(1385/6),Unkn,NTM1_ctenidia,,26.2844910926557,26.2844910926557,0,NaN,NaN,NaN,0,60,
,C08,FAM,Cg_ATPsynthase(1385/6),Unkn,NTM2_ctendia,,27.0433489551659,27.0433489551659,0,NaN,NaN,NaN,0,60,
,C09,FAM,Cg_ATPsynthase(1385/6),Unkn,TC1_ctenidia,,28.8703543539699,28.8703543539699,0,NaN,NaN,NaN,0,60,
,C10,FAM,Cg_ATPsynthase(1385/6),Unkn,TC2_ctendia,,28.2230500931414,28.2230500931414,0,NaN,NaN,NaN,0,60,
,C11,FAM,Cg_ATPsynthase(1385/6),Unkn,TH1_ctenidia,,28.7190558351587,28.7190558351587,0,NaN,NaN,NaN,0,60,
,C12,FAM,Cg_ATPsynthase(1385/6),Unkn,TH2_ctenidia,,27.7818203884583,27.7818203884583,0,NaN,NaN,NaN,0,60,
,D01,FAM,Cg_ATPsynthase(1385/6),Unkn,THM1_ctenidia,,28.6090790418203,28.6090790418203,0,NaN,NaN,NaN,0,60,
,D02,FAM,Cg_ATPsynthase(1385/6),Unkn,THM2_ctenidia,,27.7078354527507,27.7078354527507,0,NaN,NaN,NaN,0,60,
,D03,FAM,Cg_ATPsynthase(1385/6),Unkn,TM1_ctendia,,27.1440752232356,27.1440752232356,0,NaN,NaN,NaN,0,60,
,D04,FAM,Cg_ATPsynthase(1385/6),Unkn,TM2_ctenidia,,25.6542960112045,25.6542960112045,0,NaN,NaN,NaN,0,60,
,D05,FAM,Cg_ATPsynthase(1385/6),NTC-2,,,NaN,0,0,NaN,NaN,0,0,60,
,D06,FAM,Cg_ATPsynthase(1385/6),NTC-2,,,NaN,0,0,NaN,NaN,0,0,60,
,E01,FAM,Cg_citratesynthase(1383/4),Unkn,NTC1_ctenidia,,26.1432056701372,26.1432056701372,0,NaN,NaN,NaN,0,60,
,E02,FAM,Cg_citratesynthase(1383/4),Unkn,NTC2_ctenidia,,26.8600080387112,26.8600080387112,0,NaN,NaN,NaN,0,60,
,E03,FAM,Cg_citratesynthase(1383/4),Unkn,NTH1_ctenidia,,26.1123438785489,26.1123438785489,0,NaN,NaN,NaN,0,60,
,E04,FAM,Cg_citratesynthase(1383/4),Unkn,NTH2_ctenidia,,26.2914064537693,26.2914064537693,0,NaN,NaN,NaN,0,60,
,E05,FAM,Cg_citratesynthase(1383/4),Unkn,NTHM1_ctenidia,,25.5705836284713,25.5705836284713,0,NaN,NaN,NaN,0,60,
,E06,FAM,Cg_citratesynthase(1383/4),Unkn,NTHM2_ctenidia,,26.337352762889,26.337352762889,0,NaN,NaN,NaN,0,60,
,E07,FAM,Cg_citratesynthase(1383/4),Unkn,NTM1_ctenidia,,25.0022357638845,25.0022357638845,0,NaN,NaN,NaN,0,60,
,E08,FAM,Cg_citratesynthase(1383/4),Unkn,NTM2_ctendia,,26.016705655566,26.016705655566,0,NaN,NaN,NaN,0,60,
,E09,FAM,Cg_citratesynthase(1383/4),Unkn,TC1_ctenidia,,27.2519614311275,27.2519614311275,0,NaN,NaN,NaN,0,60,
,E10,FAM,Cg_citratesynthase(1383/4),Unkn,TC2_ctendia,,26.589292036801,26.589292036801,0,NaN,NaN,NaN,0,60,
,E11,FAM,Cg_citratesynthase(1383/4),Unkn,TH1_ctenidia,,27.6926770425571,27.6926770425571,0,NaN,NaN,NaN,0,60,
,E12,FAM,Cg_citratesynthase(1383/4),Unkn,TH2_ctenidia,,27.2272343448884,27.2272343448884,0,NaN,NaN,NaN,0,60,
,F01,FAM,Cg_citratesynthase(1383/4),Unkn,THM1_ctenidia,,27.3050911665067,27.3050911665067,0,NaN,NaN,NaN,0,60,
,F02,FAM,Cg_citratesynthase(1383/4),Unkn,THM2_ctenidia,,26.8617140036072,26.8617140036072,0,NaN,NaN,NaN,0,60,
,F03,FAM,Cg_citratesynthase(1383/4),Unkn,TM1_ctendia,,26.1561102569289,26.1561102569289,0,NaN,NaN,NaN,0,60,
,F04,FAM,Cg_citratesynthase(1383/4),Unkn,TM2_ctenidia,,25.3323396803514,25.3323396803514,0,NaN,NaN,NaN,0,60,
,F05,FAM,,NTC-3,,,NaN,0,0,NaN,NaN,0,0,60,
,F06,FAM,,NTC-3,,,NaN,0,0,NaN,NaN,0,0,60,
,G01,FAM,Cg_GAPDH(1172/3),Unkn,NTC1_ctenidia,,23.9358722398513,23.9358722398513,0,NaN,NaN,NaN,0,60,
,G02,FAM,Cg_GAPDH(1172/3),Unkn,NTC2_ctenidia,,24.6807872220999,24.6807872220999,0,NaN,NaN,NaN,0,60,
,G03,FAM,Cg_GAPDH(1172/3),Unkn,NTH1_ctenidia,,23.9269259675625,23.9269259675625,0,NaN,NaN,NaN,0,60,
,G04,FAM,Cg_GAPDH(1172/3),Unkn,NTH2_ctenidia,,25.0393189034969,25.0393189034969,0,NaN,NaN,NaN,0,60,
,G05,FAM,Cg_GAPDH(1172/3),Unkn,NTHM1_ctenidia,,24.1126013402689,24.1126013402689,0,NaN,NaN,NaN,0,60,
,G06,FAM,Cg_GAPDH(1172/3),Unkn,NTHM2_ctenidia,,24.1327120387491,24.1327120387491,0,NaN,NaN,NaN,0,60,
,G07,FAM,Cg_GAPDH(1172/3),Unkn,NTM1_ctenidia,,23.9455546859149,23.9455546859149,0,NaN,NaN,NaN,0,60,
,G08,FAM,Cg_GAPDH(1172/3),Unkn,NTM2_ctendia,,24.2177481685447,24.2177481685447,0,NaN,NaN,NaN,0,60,
,G09,FAM,Cg_GAPDH(1172/3),Unkn,TC1_ctenidia,,26.2046113279256,26.2046113279256,0,NaN,NaN,NaN,0,60,
,G10,FAM,Cg_GAPDH(1172/3),Unkn,TC2_ctendia,,25.0532402482007,25.0532402482007,0,NaN,NaN,NaN,0,60,
,G11,FAM,Cg_GAPDH(1172/3),Pos Ctrl,TH1_ctenidia,,26.1327235106065,26.1327235106065,0,NaN,NaN,NaN,0,60,
,G12,FAM,Cg_GAPDH(1172/3),Pos Ctrl,TH2_ctenidia,,25.1817138723842,25.1817138723842,0,NaN,NaN,NaN,0,60,
,H01,FAM,Cg_GAPDH(1172/3),Unkn,THM1_ctenidia,,25.9026354827142,25.9026354827142,0,NaN,NaN,NaN,0,60,
,H02,FAM,Cg_GAPDH(1172/3),Unkn,THM2_ctenidia,,24.9191323592727,24.9191323592727,0,NaN,NaN,NaN,0,60,
,H03,FAM,Cg_GAPDH(1172/3),Unkn,TM1_ctendia,,NaN,0,0,NaN,NaN,0,0,60,
,H04,FAM,Cg_GAPDH(1172/3),Unkn,TM2_ctenidia,,23.592294443603,23.592294443603,0,NaN,NaN,NaN,0,60,
,H05,FAM,Cg_GAPDH(1172/3),NTC-4,,,NaN,0,0,NaN,NaN,0,0,60,
,H06,FAM,Cg_GAPDH(1172/3),NTC-4,,,39.9986876965778,39.9986876965778,0,NaN,NaN,NaN,0,60,
