Well,Fluor,Target,Content,Subgroup,Biological Set Name,Cq,Cq Mean,AEV,History
D02,FAM,Cg_ATPsynthase(1385/6),Unkn,HM,,27.70783545,27.70783545,1225.744526,T
D03,FAM,Cg_ATPsynthase(1385/6),Unkn,M,,27.14407522,27.14407522,1812.193397,T
D04,FAM,Cg_ATPsynthase(1385/6),Unkn,M,,25.65429601,25.65429601,5092.441419,T
E01,FAM,Cg_citratesynthase(1383/4),Unkn,C,,26.14320567,26.14320567,3627.993098,NT
E02,FAM,Cg_citratesynthase(1383/4),Unkn,C,,26.86000804,26.86000804,2206.813227,NT
E03,FAM,Cg_citratesynthase(1383/4),Unkn,H,,26.11234388,26.11234388,3706.483092,NT
E04,FAM,Cg_citratesynthase(1383/4),Unkn,H,,26.29140645,26.29140645,3273.620844,NT
E05,FAM,Cg_citratesynthase(1383/4),Unkn,HM,,25.57058363,25.57058363,5396.8483,NT
E06,FAM,Cg_citratesynthase(1383/4),Unkn,HM,,26.33735276,26.33735276,3170.949669,NT
E07,FAM,Cg_citratesynthase(1383/4),Unkn,M,,25.00223576,25.00223576,8004.359559,NT
E08,FAM,Cg_citratesynthase(1383/4),Unkn,M,,26.01670566,26.01670566,3960.666319,NT
E09,FAM,Cg_citratesynthase(1383/4),Unkn,C,,27.25196143,27.25196143,1681.5478,T
E10,FAM,Cg_citratesynthase(1383/4),Unkn,C,,26.58929204,26.58929204,2662.595769,T
E11,FAM,Cg_citratesynthase(1383/4),Unkn,H,,27.69267704,27.69267704,1238.698682,T
E12,FAM,Cg_citratesynthase(1383/4),Unkn,H,,27.22723434,27.22723434,1710.633674,T
F01,FAM,Cg_citratesynthase(1383/4),Unkn,HM,,27.30509117,27.30509117,1620.714582,T
F02,FAM,Cg_citratesynthase(1383/4),Unkn,HM,,26.861714,26.861714,2204.203782,T
F03,FAM,Cg_citratesynthase(1383/4),Unkn,M,,26.15611026,26.15611026,3595.668038,T
F04,FAM,Cg_citratesynthase(1383/4),Unkn,M,,25.33233968,25.33233968,6366.47867,T
G01,FAM,Cg_GAPDH(1172/3),Unkn,C,,23.93587224,23.93587224,16769.3134,NT
G02,FAM,Cg_GAPDH(1172/3),Unkn,C,,24.68078722,24.68078722,10003.38282,NT
G03,FAM,Cg_GAPDH(1172/3),Unkn,H,,23.92692597,23.92692597,16873.68346,NT
G04,FAM,Cg_GAPDH(1172/3),Unkn,H,,25.0393189,25.0393189,7801.123393,NT
G05,FAM,Cg_GAPDH(1172/3),Unkn,HM,,24.11260134,24.11260134,14834.89499,NT
G06,FAM,Cg_GAPDH(1172/3),Unkn,HM,,24.13271204,24.13271204,14629.42085,NT
G07,FAM,Cg_GAPDH(1172/3),Unkn,M,,23.94555469,23.94555469,16657.08214,NT
G08,FAM,Cg_GAPDH(1172/3),Unkn,M,,24.21774817,24.21774817,13791.58725,NT
G09,FAM,Cg_GAPDH(1172/3),Unkn,C,,26.20461133,26.20461133,3476.730819,T
G10,FAM,Cg_GAPDH(1172/3),Unkn,C,,25.05324025,25.05324025,7726.166032,T
G11,FAM,Cg_GAPDH(1172/3),Pos Ctrl,H,,26.13272351,26.13272351,3654.463922,T
G12,FAM,Cg_GAPDH(1172/3),Pos Ctrl,H,,25.18171387,25.18171387,7067.531981,T
H01,FAM,Cg_GAPDH(1172/3),Unkn,HM,,25.90263548,25.90263548,4286.730623,T
H02,FAM,Cg_GAPDH(1172/3),Unkn,HM,,24.91913236,24.91913236,8479.247913,T
H04,FAM,Cg_GAPDH(1172/3),Unkn,M,,23.59229444,23.59229444,21281.43528,T
A01-24,SYBR,Cg_18s(1408/9),Unkn,C,,21.86330877,21.86330877,70594.58646,NT
A02,SYBR,Cg_18s(1408/9),Unkn,C,,19.41253351,19.41253351,386317.9669,NT
A03,SYBR,Cg_18s(1408/9),Unkn,H,,20.13402251,20.13402251,234224.5536,NT
A04,SYBR,Cg_18s(1408/9),Unkn,H,,20.20030281,20.20030281,223701.4472,NT
A05,SYBR,Cg_18s(1408/9),Unkn,HM,,20.65186347,20.65186347,163553.0784,NT
A06,SYBR,Cg_18s(1408/9),Unkn,HM,,20.34020899,20.34020899,203015.4323,NT
A07,SYBR,Cg_18s(1408/9),Unkn,M,,21.65945565,21.65945565,81315.24189,NT
A08,SYBR,Cg_18s(1408/9),Unkn,M,,19.97154035,19.97154035,262163.3914,NT
A09,SYBR,Cg_18s(1408/9),Unkn,C,,20.68993623,20.68993623,159290.9886,T
A10,SYBR,Cg_18s(1408/9),Unkn,C,,20.68528157,20.68528157,159806.0405,T
A11,SYBR,Cg_18s(1408/9),Unkn,H,,22.67310771,22.67310771,40258.71954,T
A12,SYBR,Cg_18s(1408/9),Unkn,H,,21.86291505,21.86291505,70613.86565,T
B01,SYBR,Cg_18s(1408/9),Unkn,HM,,25.61592417,25.61592417,5229.782651,T
B02,SYBR,Cg_18s(1408/9),Unkn,HM,,22.36287451,22.36287451,49923.17499,T
B03,SYBR,Cg_18s(1408/9),Unkn,M,,21.58476344,21.58476344,85638.53945,T
B04,SYBR,Cg_18s(1408/9),Unkn,M,,21.2996482,21.2996482,104362.8576,T
C01,SYBR,Cg_Actin(1170/1),Unkn,C,,21.26451974,21.26451974,106936.6696,NT
C02,SYBR,Cg_Actin(1170/1),Unkn,C,,21.12724131,21.12724131,117618.3053,NT
C03,SYBR,Cg_Actin(1170/1),Unkn,H,,21.37720822,21.37720822,98897.40226,NT
C04,SYBR,Cg_Actin(1170/1),Unkn,H,,22.02790877,22.02790877,62978.72708,NT
C05,SYBR,Cg_Actin(1170/1),Unkn,HM,,21.0417136,21.0417136,124806.1147,NT
C06,SYBR,Cg_Actin(1170/1),Unkn,HM,,21.06744394,21.06744394,122598.7057,NT
C07,SYBR,Cg_Actin(1170/1),Unkn,M,,20.76867392,20.76867392,150825.7228,NT
C08,SYBR,Cg_Actin(1170/1),Unkn,M,,21.34937979,21.34937979,100824.6695,NT
C09,SYBR,Cg_Actin(1170/1),Unkn,C,,22.95030219,22.95030219,33217.65578,T
C10,SYBR,Cg_Actin(1170/1),Unkn,C,,21.55511977,21.55511977,87417.40803,T
C11,SYBR,Cg_Actin(1170/1),Unkn,H,,21.30952166,21.30952166,103650.661,T
C12,SYBR,Cg_Actin(1170/1),Unkn,H,,22.06121244,22.06121244,61540.75402,T
D01,SYBR,Cg_Actin(1170/1),Unkn,HM,,20.30570099,20.30570099,207932.733,T
D02,SYBR,Cg_Actin(1170/1),Unkn,HM,,22.17883407,22.17883407,56719.86364,T
D03,SYBR,Cg_Actin(1170/1),Unkn,M,,20.62955555,20.62955555,166103.1499,T
D04,SYBR,Cg_Actin(1170/1),Unkn,M,,20.37501838,20.37501838,198172.9909,T
E01,SYBR,Cg_Def(1160/1),Unkn,C,,38.84470048,38.84470048,0.541971208,NT
E02,SYBR,Cg_Def(1160/1),Unkn,C,,37.34535333,37.34535333,1.533132101,NT
E03,SYBR,Cg_Def(1160/1),Unkn,H,,37.25942679,37.25942679,1.62727387,NT
E04,SYBR,Cg_Def(1160/1),Unkn,H,,38.3555452,38.3555452,0.760868817,NT
E05,SYBR,Cg_Def(1160/1),Unkn,HM,,36.79746277,36.79746277,2.241837935,NT
E06,SYBR,Cg_Def(1160/1),Unkn,HM,,38.70598096,38.70598096,0.596703431,NT
E07,SYBR,Cg_Def(1160/1),Unkn,M,,39.43836277,39.43836277,0.359058435,NT
E08,SYBR,Cg_Def(1160/1),Unkn,M,,38.1752822,38.1752822,0.86219401,NT
E09,SYBR,Cg_Def(1160/1),Unkn,C,,39.47330757,39.47330757,0.350461052,T
E10,SYBR,Cg_Def(1160/1),Unkn,C,,39.07538325,39.07538325,0.461843212,T
E12,SYBR,Cg_Def(1160/1),Unkn,H,,34.11554573,34.11554573,14.40116499,T
F04,SYBR,Cg_Def(1160/1),Unkn,M,,39.21650747,39.21650747,0.418781945,T
G01,SYBR,IL-17_internal(256/7),Unkn,C,,29.76692564,29.76692564,293.9016317,NT
G02,SYBR,IL-17_internal(256/7),Unkn,C,,28.53870832,28.53870832,688.8759993,NT
G03,SYBR,IL-17_internal(256/7),Unkn,H,,28.63852987,28.63852987,642.7984238,NT
G04,SYBR,IL-17_internal(256/7),Unkn,H,,28.41719638,28.41719638,749.4461801,NT
G05,SYBR,IL-17_internal(256/7),Unkn,HM,,28.9139235,28.9139235,531.0387855,NT
G06,SYBR,IL-17_internal(256/7),Unkn,HM,,29.03316628,29.03316628,488.8890571,NT
G07,SYBR,IL-17_internal(256/7),Unkn,M,,28.6457424,28.6457424,639.5910665,NT
G08,SYBR,IL-17_internal(256/7),Unkn,M,,29.37490639,29.37490639,385.725362,NT
G09,SYBR,IL-17_internal(256/7),Unkn,C,,29.23671369,29.23671369,424.5235982,T
G10,SYBR,IL-17_internal(256/7),Unkn,C,,29.98445576,29.98445576,252.7446231,T
G11,SYBR,IL-17_internal(256/7),Unkn,H,,30.07833917,30.07833917,236.8122925,T
G12,SYBR,IL-17_internal(256/7),Unkn,H,,29.43991181,29.43991181,368.7215857,T
H01,SYBR,IL-17_internal(256/7),Unkn,HM,,33.11474892,33.11474892,28.82953418,T
H02,SYBR,IL-17_internal(256/7),Unkn,HM,,30.06613697,30.06613697,238.824867,T
H03,SYBR,IL-17_internal(256/7),Unkn,M,,29.82483765,29.82483765,282.3312168,T
H04,SYBR,IL-17_internal(256/7),Unkn,M,,29.74498174,29.74498174,298.4087132,T
A01,FAM,Cg_HSP70(598/9),Unkn,C,,31.17211055,31.17211055,110.9073433,NT
A02,FAM,Cg_HSP70(598/9),Unkn,C,,28.91862536,28.91862536,529.30993,NT
A03,FAM,Cg_HSP70(598/9),Unkn,H,,29.76429619,29.76429619,294.4380871,NT
A04,FAM,Cg_HSP70(598/9),Unkn,H,,29.62659647,29.62659647,323.9434053,NT
A05,FAM,Cg_HSP70(598/9),Unkn,HM,,27.90717863,27.90717863,1067.475206,NT
A06,FAM,Cg_HSP70(598/9),Unkn,HM,,29.5377203,29.5377203,344.5392037,NT
A07,FAM,Cg_HSP70(598/9),Unkn,M,,31.83402252,31.83402252,70.07972952,NT
A08,FAM,Cg_HSP70(598/9),Unkn,M,,31.26353345,31.26353345,104.0935272,NT
A09,FAM,Cg_HSP70(598/9),Unkn,C,,30.45214926,30.45214926,182.7311733,T
A10,FAM,Cg_HSP70(598/9),Unkn,C,,29.74528379,29.74528379,298.3462081,T
A11,FAM,Cg_HSP70(598/9),Unkn,H,,32.16981553,32.16981553,55.52026909,T
A12,FAM,Cg_HSP70(598/9),Unkn,H,,29.89659721,29.89659721,268.6240672,T
B01,FAM,Cg_HSP70(598/9),Unkn,HM,,31.08466786,31.08466786,117.8414399,T
B02,FAM,Cg_HSP70(598/9),Unkn,HM,,30.36092225,30.36092225,194.6660507,T
B03,FAM,Cg_HSP70(598/9),Unkn,M,,31.4482671,31.4482671,91.57605897,T
B04,FAM,Cg_HSP70(598/9),Unkn,M,,30.64174275,30.64174275,160.2164423,T
C01,FAM,Cg_HSP90(1532/3),Unkn,C,,26.62238668,26.62238668,2602.178786,NT
C02,FAM,Cg_HSP90(1532/3),Unkn,C,,26.50527552,26.50527552,2822.350934,NT
C03,FAM,Cg_HSP90(1532/3),Unkn,H,,25.68764069,25.68764069,4976.025808,NT
C04,FAM,Cg_HSP90(1532/3),Unkn,H,,26.84398982,26.84398982,2231.46596,NT
C05,FAM,Cg_HSP90(1532/3),Unkn,HM,,26.12292212,26.12292212,3679.390286,NT
C06,FAM,Cg_HSP90(1532/3),Unkn,HM,,26.45768875,26.45768875,2917.051849,NT
C07,FAM,Cg_HSP90(1532/3),Unkn,M,,26.90644114,26.90644114,2136.878988,NT
C08,FAM,Cg_HSP90(1532/3),Unkn,M,,26.3837508,26.3837508,3070.536463,NT
C09,FAM,Cg_HSP90(1532/3),Unkn,C,,27.55742956,27.55742956,1360.511498,T
C10,FAM,Cg_HSP90(1532/3),Unkn,C,,25.24229656,25.24229656,6776.731457,T
C11,FAM,Cg_HSP90(1532/3),Unkn,H,,27.02948332,27.02948332,1962.093161,T
C12,FAM,Cg_HSP90(1532/3),Unkn,H,,26.79132442,26.79132442,2314.478148,T
D01,FAM,Cg_HSP90(1532/3),Unkn,HM,,25.69559761,25.69559761,4948.64158,T
D02,FAM,Cg_HSP90(1532/3),Unkn,HM,,26.75601428,26.75601428,2371.856984,T
D03,FAM,Cg_HSP90(1532/3),Unkn,M,,25.25407671,25.25407671,6721.59119,T
E01,FAM,Cg_VIPERIN(1828/9),Unkn,C,,31.38620743,31.38620743,95.60361671,NT
E02,FAM,Cg_VIPERIN(1828/9),Unkn,C,,33.24982264,33.24982264,26.2514575,NT
E03,FAM,Cg_VIPERIN(1828/9),Unkn,H,,32.02704598,32.02704598,61.29905097,NT
E04,FAM,Cg_VIPERIN(1828/9),Unkn,H,,31.81852513,31.81852513,70.83701152,NT
E05,FAM,Cg_VIPERIN(1828/9),Unkn,HM,,32.7667315,32.7667315,36.69952745,NT
E06,FAM,Cg_VIPERIN(1828/9),Unkn,HM,,32.02513601,32.02513601,61.38030382,NT
E07,FAM,Cg_VIPERIN(1828/9),Unkn,M,,30.3307762,30.3307762,198.7788659,NT
E08,FAM,Cg_VIPERIN(1828/9),Unkn,M,,32.28304381,32.28304381,51.32715641,NT
E09,FAM,Cg_VIPERIN(1828/9),Unkn,C,,34.76868977,34.76868977,9.155259135,T
E10,FAM,Cg_VIPERIN(1828/9),Unkn,C,,32.72683967,32.72683967,37.72905186,T
E11,FAM,Cg_VIPERIN(1828/9),Unkn,H,,34.37338666,34.37338666,12.04303471,T
E12,FAM,Cg_VIPERIN(1828/9),Unkn,H,,32.3652898,32.3652898,48.48135085,T
F01,FAM,Cg_VIPERIN(1828/9),Unkn,HM,,32.31367279,32.31367279,50.24834424,T
F02,FAM,Cg_VIPERIN(1828/9),Unkn,HM,,33.17865719,33.17865719,27.5796312,T
F03,FAM,Cg_VIPERIN(1828/9),Unkn,M,,32.40820826,32.40820826,47.05953939,T
F04,FAM,Cg_VIPERIN(1828/9),Unkn,M,,32.2629539,32.2629539,52.04730962,T
